N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
						Esmeralda de cola	C. gibsoni / C. vitticeps											
124	Chlorostilbon mellisugus	II	-	LC	Nativa			(Linnaeus, 1758)										
						azul	Ornismya prasina											
							Prasitis vitticeps											
							Trochilus gibsoni											
125	Chrysuronia oenone	II	-	LC	Nativa	Zafiro de cola dorada	Ornismya oenone	(Lesson, 1832)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
126	Coeligena coeligena	II	-	LC	Nativa	Inca bronceado	Ornismya coeligena	(Lesson, 1833)										
127	Coeligena iris	II	-	LC	Nativa	Inca arcoiris	Helianthea iris	(Gould, 1854)										
								(DeLattre & Bourcier,										
128	Coeligena lutetiae	II	-	LC	Nativa	Inca de ala anteada	Trochilus lutetiae											
								1846)										
							Coeligena inca											
129	Coeligena torquata	II	-	LC	Nativa	Inca acollarado	Bourcieria inca	(Boissonneau, 1840)										
							Ornismya torquata											
						Inca de garganta												
130	Coeligena violifer	II	-	LC	Nativa		Trochilus violifer	(Gould, 1846)										
						violeta												
						Oreja-violeta de												
131	Colibri coruscans	II	-	LC	Nativa		Trochilus coruscans	(Gould, 1846)										
						vientre azul												
132	Colibri delphinae	II	-	LC	Nativa	Oreja-violeta parda	Ornismya delphinae	(Lesson, 1839)										
								(Swainson, 1827)										
133	Colibri thalassinus	II	-	LC	Nativa	Oreja-violeta verde	Trochilus thalassinus											
						Colibrí de vientre												
134	Damophila julie	II	-	LC	Nativa		Ornismya julie	(Bourcier, 1842)										
						violeta												
						Cola-cerda de vientre	Trochilus langsdorffi											
135	Discosura langsdorffi	II	-	LC	Nativa			(Temminck, 1821)										
						negro	Popelairia langsdorffi											
							Trochilus popelairii											
136	Discosura popelairii	II	-	NT	Nativa	Cola-cerda crestado		(DuBus & Gisignies, 1846)										
							Popelairia popelairii											
						Pico-lanza de frente												
137	Doryfera johannae	II	-	LC	Nativa		Trochilus johannae	(Bourcier, 1847)										
						azul												
						Pico-lanza de frente		(Bourcier & Mulsant,										
138	Doryfera ludovicae	II	-	LC	Nativa		Trochilus ludovicae											
						verde		1847)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
